time,type,image
2025-04-09 10:03:15,No Helmet,violations/helmet_violation_2025-04-09_10-03-15.jpg
2025-04-09 10:04:15,No Helmet,violations/helmet_violation_2025-04-09_10-04-15.jpg
2025-04-09 18:32:23,No Helmet,violations/helmet_violation_2025-04-09_18-32-23.jpg
2025-04-09 18:32:45,No Helmet,violations/helmet_violation_2025-04-09_18-32-45.jpg
2025-04-09 18:34:00,No Helmet,violations/helmet_violation_2025-04-09_18-34-00.jpg
2025-04-09 18:35:00,No Helmet,violations/helmet_violation_2025-04-09_18-35-00.jpg
2025-04-09 18:36:01,No Helmet,violations/helmet_violation_2025-04-09_18-36-01.jpg
2025-04-09 18:37:20,No Helmet,violations/helmet_violation_2025-04-09_18-37-19.jpg
2025-04-09 18:38:20,No Helmet,violations/helmet_violation_2025-04-09_18-38-20.jpg
2025-04-09 18:41:03,No Helmet,violations/helmet_violation_2025-04-09_18-41-03.jpg
2025-04-09 18:42:56,No Helmet,violations/helmet_violation_2025-04-09_18-42-56.jpg
2025-04-09 18:44:07,No Helmet,violations/helmet_violation_2025-04-09_18-44-07.jpg
2025-04-09 18:45:09,No Helmet,violations/helmet_violation_2025-04-09_18-45-09.jpg
2025-04-09 18:46:13,No Helmet,violations/helmet_violation_2025-04-09_18-46-13.jpg
2025-04-09 18:47:16,No Helmet,violations/helmet_violation_2025-04-09_18-47-16.jpg
2025-04-11 05:47:40,No Helmet,violations/helmet_violation_2025-04-11_05-47-40.jpg
2025-04-11 05:51:41,No Helmet,violations/helmet_violation_2025-04-11_05-51-41.jpg
2025-04-11 05:54:22,No Helmet,violations/helmet_violation_2025-04-11_05-54-22.jpg
2025-04-11 06:00:46,No Helmet,violations/helmet_violation_2025-04-11_06-00-46.jpg
2025-04-11 06:03:16,No Helmet,violations/helmet_violation_2025-04-11_06-03-16.jpg
2025-04-11 11:49:42,No Helmet,violations/helmet_violation_2025-04-11_11-49-42.jpg
